,Date,Name,Points,Prop
0,"Tue, May 09 6:40 PM",Joel Embiid,28.5,Points
1,"Tue, May 09 6:40 PM",Jayson Tatum,28.5,Points
2,"Tue, May 09 6:40 PM",James Harden,21.5,Points
3,"Tue, May 09 6:40 PM",Jaylen Brown,24.5,Points
4,"Tue, May 09 6:40 PM",Tyrese Maxey,18.5,Points
5,"Tue, May 09 6:40 PM",Malcolm Brogdon,14.5,Points
6,"Tue, May 09 6:40 PM",Tobias Harris,13.5,Points
7,"Tue, May 09 6:40 PM",Marcus Smart,13.0,Points
8,"Tue, May 09 6:40 PM",De'Anthony Melton,7.5,Points
9,"Tue, May 09 6:40 PM",Derrick White,12.5,Points
10,"Tue, May 09 6:40 PM",Al Horford,8.5,Points
11,"Tue, May 09 6:30 PM",Jayson Tatum + Jaylen Brown,53.5,Points
12,"Tue, May 09 6:30 PM",Joel Embiid + James Harden,50.5,Points
13,"Tue, May 09 6:30 PM",Marcus Smart + Jayson Tatum,42.0,Points
14,"Tue, May 09 6:30 PM",Tyrese Maxey + James Harden,40.5,Points
15,"Tue, May 09 6:30 PM",Jaylen Brown + Malcolm Brogdon,40.5,Points
16,"Tue, May 09 6:30 PM",Joel Embiid + Tobias Harris,42.0,Points
17,"Tue, May 09 6:30 PM",James Harden + Jaylen Brown,46.5,Points
18,"Tue, May 09 6:30 PM",James Harden + Jayson Tatum,50.5,Points
19,"Tue, May 09 6:30 PM",Joel Embiid + Jayson Tatum,57.5,Points
20,"Tue, May 09 9:10 PM",Devin Booker,31.5,Points
21,"Tue, May 09 9:10 PM",Nikola Jokic,30.5,Points
22,"Tue, May 09 9:10 PM",Kevin Durant,31.5,Points
23,"Tue, May 09 9:10 PM",Jamal Murray,25.5,Points
24,"Tue, May 09 9:10 PM",Deandre Ayton,12.5,Points
25,"Tue, May 09 9:10 PM",Michael Porter Jr.,15.0,Points
26,"Tue, May 09 9:10 PM",Cameron Payne,8.5,Points
27,"Tue, May 09 9:10 PM",Aaron Gordon,14.5,Points
28,"Tue, May 09 9:10 PM",Kentavious Caldwell-Pope,9.5,Points
29,"Tue, May 09 9:10 PM",Bruce Brown,10.5,Points
30,"Tue, May 09 9:00 PM",Devin Booker + Kevin Durant,63.5,Points
31,"Tue, May 09 9:00 PM",Devin Booker + Deandre Ayton,44.5,Points
32,"Tue, May 09 9:00 PM",Kevin Durant + Deandre Ayton,44.5,Points
33,"Tue, May 09 9:00 PM",Nikola Jokic + Jamal Murray,56.5,Points
34,"Tue, May 09 9:00 PM",Nikola Jokic + Aaron Gordon,45.5,Points
35,"Tue, May 09 9:00 PM",Michael Porter Jr. + Jamal Murray,42.0,Points
36,"Tue, May 09 9:00 PM",Nikola Jokic + Devin Booker,63.0,Points
37,"Tue, May 09 9:00 PM",Nikola Jokic + Kevin Durant,62.5,Points
38,"Tue, May 09 9:00 PM",Nikola Jokic + Deandre Ayton,43.5,Points
39,"Tue, May 09 9:00 PM",Jamal Murray + Devin Booker,58.0,Points
40,"Tue, May 09 9:00 PM",Jamal Murray + Kevin Durant,57.5,Points
41,"Wed, May 10 6:40 PM",Jimmy Butler,27.5,Points
42,"Wed, May 10 6:40 PM",Jalen Brunson,25.5,Points
43,"Wed, May 10 6:40 PM",Bam Adebayo,17.0,Points
44,"Wed, May 10 9:10 PM",LeBron James,25.5,Points
45,"Wed, May 10 9:10 PM",Stephen Curry,30.5,Points
46,"Wed, May 10 9:10 PM",Anthony Davis,24.5,Points
47,"Wed, May 10 9:10 PM",Klay Thompson,22.5,Points
48,"Tue, May 09 6:40 PM",Joel Embiid,11.0,Rebounds
49,"Tue, May 09 6:40 PM",Jayson Tatum,9.5,Rebounds
50,"Tue, May 09 6:40 PM",James Harden,6.0,Rebounds
51,"Tue, May 09 6:40 PM",Jaylen Brown,5.5,Rebounds
