,Date,Name,Points,Prop
0,"Thu, May 18 7:40 PM",LeBron James,25.5,Points
1,"Thu, May 18 7:40 PM",Nikola Jokic,29.5,Points
2,"Thu, May 18 7:40 PM",Anthony Davis,25.0,Points
3,"Thu, May 18 7:40 PM",Jamal Murray,25.5,Points
4,"Thu, May 18 7:40 PM",Austin Reaves,15.5,Points
5,"Thu, May 18 7:40 PM",Michael Porter Jr.,16.0,Points
6,"Thu, May 18 7:40 PM",D'Angelo Russell,13.5,Points
7,"Thu, May 18 7:40 PM",Aaron Gordon,13.0,Points
8,"Thu, May 18 7:40 PM",Lonnie Walker IV,7.5,Points
9,"Thu, May 18 7:40 PM",Kentavious Caldwell-Pope,11.0,Points
10,"Thu, May 18 7:40 PM",Dennis Schroder,8.5,Points
11,"Thu, May 18 7:40 PM",Bruce Brown,11.5,Points
12,"Thu, May 18 7:40 PM",Rui Hachimura,12.0,Points
13,"Thu, May 18 7:40 PM",Jeff Green,4.5,Points
14,"Thu, May 18 7:40 PM",Christian Braun,2.5,Points
15,"Thu, May 18 7:30 PM",Nikola Jokic + Jamal Murray,55.5,Points
16,"Thu, May 18 7:30 PM",Nikola Jokic + Aaron Gordon,42.5,Points
17,"Thu, May 18 7:30 PM",Michael Porter Jr. + Jamal Murray,41.5,Points
18,"Thu, May 18 7:30 PM",LeBron James + Anthony Davis,51.5,Points
19,"Thu, May 18 7:30 PM",LeBron James + D'Angelo Russell,39.5,Points
20,"Thu, May 18 7:30 PM",Anthony Davis + D'Angelo Russell,39.5,Points
21,"Thu, May 18 7:30 PM",Nikola Jokic + LeBron James,55.5,Points
22,"Thu, May 18 7:30 PM",Nikola Jokic + Anthony Davis,55.0,Points
23,"Thu, May 18 7:30 PM",Jamal Murray + LeBron James,51.5,Points
24,"Thu, May 18 7:30 PM",Jamal Murray + Anthony Davis,51.5,Points
25,"Thu, May 18 7:30 PM",Jamal Murray + D'Angelo Russell,39.5,Points
26,"Fri, May 19 7:40 PM",Jimmy Butler,28.5,Points
27,"Fri, May 19 7:40 PM",Jayson Tatum,29.5,Points
28,"Fri, May 19 7:40 PM",Bam Adebayo,18.5,Points
29,"Fri, May 19 7:40 PM",Jaylen Brown,24.5,Points
30,"Fri, May 19 7:40 PM",Max Strus,12.5,Points
31,"Fri, May 19 7:40 PM",Malcolm Brogdon,15.5,Points
32,"Fri, May 19 7:40 PM",Gabe Vincent,10.5,Points
33,"Fri, May 19 7:40 PM",Marcus Smart,13.5,Points
34,"Fri, May 19 7:40 PM",Kyle Lowry,10.5,Points
35,"Fri, May 19 7:40 PM",Al Horford,7.5,Points
36,"Fri, May 19 7:40 PM",Caleb Martin,9.0,Points
37,"Fri, May 19 7:40 PM",Robert Williams III,7.5,Points
38,"Fri, May 19 7:40 PM",Kevin Love,6.5,Points
39,"Fri, May 19 7:40 PM",Derrick White,8.5,Points
40,"Thu, May 18 7:40 PM",LeBron James,41.5,Pts+Rebs+Asts
41,"Thu, May 18 7:40 PM",Nikola Jokic,54.0,Pts+Rebs+Asts
42,"Thu, May 18 7:40 PM",Anthony Davis,40.5,Pts+Rebs+Asts
43,"Thu, May 18 7:40 PM",Jamal Murray,35.5,Pts+Rebs+Asts
44,"Thu, May 18 7:40 PM",Austin Reaves,23.5,Pts+Rebs+Asts
45,"Thu, May 18 7:40 PM",Michael Porter Jr.,24.5,Pts+Rebs+Asts
46,"Thu, May 18 7:40 PM",D'Angelo Russell,20.5,Pts+Rebs+Asts
47,"Thu, May 18 7:40 PM",Aaron Gordon,21.5,Pts+Rebs+Asts
48,"Thu, May 18 7:40 PM",Bruce Brown,17.5,Pts+Rebs+Asts
49,"Thu, May 18 7:40 PM",Rui Hachimura,17.5,Pts+Rebs+Asts
50,"Fri, May 19 7:40 PM",Jimmy Butler,40.5,Pts+Rebs+Asts
51,"Fri, May 19 7:40 PM",Jayson Tatum,44.5,Pts+Rebs+Asts
52,"Fri, May 19 7:40 PM",Bam Adebayo,30.5,Pts+Rebs+Asts
53,"Fri, May 19 7:40 PM",Jaylen Brown,34.5,Pts+Rebs+Asts
54,"Fri, May 19 7:40 PM",Max Strus,16.5,Pts+Rebs+Asts
55,"Fri, May 19 7:40 PM",Malcolm Brogdon,21.5,Pts+Rebs+Asts
56,"Fri, May 19 7:40 PM",Gabe Vincent,16.5,Pts+Rebs+Asts
57,"Fri, May 19 7:40 PM",Marcus Smart,22.5,Pts+Rebs+Asts
58,"Fri, May 19 7:40 PM",Kyle Lowry,18.5,Pts+Rebs+Asts
59,"Fri, May 19 7:40 PM",Al Horford,16.5,Pts+Rebs+Asts
60,"Fri, May 19 7:40 PM",Robert Williams III,16.5,Pts+Rebs+Asts
61,"Fri, May 19 7:40 PM",Kevin Love,12.5,Pts+Rebs+Asts
62,"Fri, May 19 7:40 PM",Derrick White,12.5,Pts+Rebs+Asts
63,"Thu, May 18 7:30 PM",LeBron James,39.5,Minutes Played
64,"Thu, May 18 7:30 PM",Nikola Jokic,39.5,Minutes Played
65,"Thu, May 18 7:40 PM",LeBron James,9.0,Rebounds
66,"Thu, May 18 7:40 PM",Nikola Jokic,14.0,Rebounds
67,"Thu, May 18 7:40 PM",Anthony Davis,12.5,Rebounds
68,"Thu, May 18 7:40 PM",Jamal Murray,4.5,Rebounds
69,"Thu, May 18 7:40 PM",Austin Reaves,3.5,Rebounds
70,"Thu, May 18 7:40 PM",Michael Porter Jr.,6.5,Rebounds
71,"Thu, May 18 7:40 PM",D'Angelo Russell,2.5,Rebounds
72,"Thu, May 18 7:40 PM",Aaron Gordon,6.0,Rebounds
73,"Thu, May 18 7:40 PM",Lonnie Walker IV,1.5,Rebounds
74,"Thu, May 18 7:40 PM",Kentavious Caldwell-Pope,3.0,Rebounds
75,"Thu, May 18 7:40 PM",Bruce Brown,4.0,Rebounds
76,"Thu, May 18 7:40 PM",Rui Hachimura,4.0,Rebounds
77,"Thu, May 18 7:30 PM",Nikola Jokic + Jamal Murray,19.0,Rebounds
78,"Thu, May 18 7:30 PM",Nikola Jokic + Aaron Gordon,20.0,Rebounds
79,"Thu, May 18 7:30 PM",Michael Porter Jr. + Jamal Murray,11.0,Rebounds
80,"Thu, May 18 7:30 PM",LeBron James + Anthony Davis,22.0,Rebounds
81,"Thu, May 18 7:30 PM",Nikola Jokic + LeBron James,23.5,Rebounds
82,"Thu, May 18 7:30 PM",Nikola Jokic + Anthony Davis,27.0,Rebounds
83,"Thu, May 18 7:30 PM",Jamal Murray + LeBron James,13.5,Rebounds
84,"Thu, May 18 7:30 PM",Jamal Murray + Anthony Davis,17.5,Rebounds
85,"Fri, May 19 7:40 PM",Jimmy Butler,6.5,Rebounds
86,"Fri, May 19 7:40 PM",Jayson Tatum,9.5,Rebounds
87,"Fri, May 19 7:40 PM",Bam Adebayo,9.0,Rebounds
88,"Fri, May 19 7:40 PM",Jaylen Brown,6.0,Rebounds
89,"Fri, May 19 7:40 PM",Max Strus,3.5,Rebounds
90,"Fri, May 19 7:40 PM",Malcolm Brogdon,3.5,Rebounds
91,"Fri, May 19 7:40 PM",Kyle Lowry,3.5,Rebounds
92,"Fri, May 19 7:40 PM",Al Horford,6.5,Rebounds
93,"Fri, May 19 7:40 PM",Caleb Martin,4.5,Rebounds
94,"Fri, May 19 7:40 PM",Robert Williams III,7.0,Rebounds
95,"Fri, May 19 7:40 PM",Kevin Love,5.0,Rebounds
96,"Thu, May 18 7:30 PM",LeBron James,4.0,Points In First 6 Minutes
97,"Thu, May 18 7:30 PM",Nikola Jokic,4.5,Points In First 6 Minutes
98,"Thu, May 18 7:30 PM",Anthony Davis,4.5,Points In First 6 Minutes
99,"Thu, May 18 7:30 PM",Jamal Murray,3.5,Points In First 6 Minutes
100,"Thu, May 18 7:30 PM",Austin Reaves,2.5,Points In First 6 Minutes
101,"Thu, May 18 7:30 PM",Michael Porter Jr.,3.0,Points In First 6 Minutes
102,"Thu, May 18 7:30 PM",D'Angelo Russell,2.5,Points In First 6 Minutes
103,"Thu, May 18 7:30 PM",Aaron Gordon,2.5,Points In First 6 Minutes
104,"Thu, May 18 7:30 PM",LeBron James,6.5,3-PT Attempted
105,"Thu, May 18 7:30 PM",Jamal Murray,7.5,3-PT Attempted
106,"Thu, May 18 7:30 PM",Austin Reaves,5.5,3-PT Attempted
107,"Thu, May 18 7:30 PM",Michael Porter Jr.,6.5,3-PT Attempted
108,"Thu, May 18 7:30 PM",D'Angelo Russell,5.5,3-PT Attempted
109,"Thu, May 18 7:30 PM",Aaron Gordon,3.0,3-PT Attempted
110,"Thu, May 18 7:40 PM",LeBron James,6.5,Assists
111,"Thu, May 18 7:40 PM",Nikola Jokic,10.0,Assists
112,"Thu, May 18 7:40 PM",Jamal Murray,6.0,Assists
113,"Thu, May 18 7:40 PM",Austin Reaves,4.0,Assists
114,"Thu, May 18 7:40 PM",D'Angelo Russell,4.0,Assists
115,"Thu, May 18 7:40 PM",Dennis Schroder,3.5,Assists
116,"Thu, May 18 7:30 PM",Nikola Jokic + Jamal Murray,16.5,Assists
117,"Thu, May 18 7:30 PM",LeBron James + D'Angelo Russell,10.5,Assists
118,"Thu, May 18 7:30 PM",Nikola Jokic + LeBron James,17.0,Assists
