,Date,Name,Points,Prop
0,"Tue, May 16 7:40 PM",LeBron James,25.0,Points
1,"Tue, May 16 7:40 PM",Nikola Jokic,27.5,Points
2,"Tue, May 16 7:40 PM",Anthony Davis,22.5,Points
3,"Tue, May 16 7:40 PM",Jamal Murray,24.5,Points
4,"Tue, May 16 7:40 PM",D'Angelo Russell,14.5,Points
5,"Tue, May 16 7:40 PM",Michael Porter Jr.,14.5,Points
6,"Tue, May 16 7:40 PM",Austin Reaves,14.5,Points
7,"Tue, May 16 7:40 PM",Aaron Gordon,13.5,Points
8,"Tue, May 16 7:40 PM",Dennis Schroder,8.5,Points
9,"Tue, May 16 7:40 PM",Kentavious Caldwell-Pope,9.5,Points
10,"Tue, May 16 7:40 PM",Lonnie Walker IV,8.5,Points
11,"Tue, May 16 7:40 PM",Bruce Brown,11.5,Points
12,"Wed, May 17 7:40 PM",Jimmy Butler,27.5,Points
13,"Wed, May 17 7:40 PM",Jayson Tatum,29.5,Points
14,"Wed, May 17 7:40 PM",Bam Adebayo,17.5,Points
15,"Wed, May 17 7:40 PM",Jaylen Brown,24.5,Points
16,"Wed, May 17 7:40 PM",Gabe Vincent,9.5,Points
17,"Wed, May 17 7:40 PM",Marcus Smart,14.5,Points
18,"Wed, May 17 7:40 PM",Max Strus,11.5,Points
19,"Wed, May 17 7:40 PM",Al Horford,7.5,Points
20,"Wed, May 17 7:40 PM",Kyle Lowry,10.5,Points
21,"Wed, May 17 7:40 PM",Malcolm Brogdon,14.5,Points
22,"Wed, May 17 7:40 PM",Caleb Martin,8.5,Points
23,"Wed, May 17 7:40 PM",Kevin Love,7.0,Points
24,"Wed, May 17 7:40 PM",Robert Williams III,7.0,Points
25,"Tue, May 16 7:30 PM",LeBron James,38.5,Minutes Played
26,"Tue, May 16 7:30 PM",Nikola Jokic,38.5,Minutes Played
27,"Tue, May 16 7:30 PM",Anthony Davis,37.5,Minutes Played
28,"Tue, May 16 7:30 PM",Jamal Murray,39.0,Minutes Played
29,"Wed, May 17 7:40 PM",Jimmy Butler,42.0,Minutes Played
30,"Wed, May 17 7:40 PM",Jayson Tatum,41.0,Minutes Played
31,"Wed, May 17 7:40 PM",Bam Adebayo,38.0,Minutes Played
32,"Wed, May 17 7:40 PM",Jaylen Brown,39.0,Minutes Played
33,"Tue, May 16 7:40 PM",LeBron James,9.0,Rebounds
34,"Tue, May 16 7:40 PM",Nikola Jokic,13.0,Rebounds
35,"Tue, May 16 7:40 PM",Anthony Davis,13.0,Rebounds
36,"Tue, May 16 7:40 PM",Jamal Murray,4.5,Rebounds
37,"Tue, May 16 7:40 PM",Michael Porter Jr.,6.0,Rebounds
38,"Tue, May 16 7:40 PM",Austin Reaves,4.0,Rebounds
39,"Tue, May 16 7:40 PM",Aaron Gordon,6.0,Rebounds
40,"Tue, May 16 7:40 PM",Bruce Brown,4.0,Rebounds
41,"Wed, May 17 7:40 PM",Jimmy Butler,7.0,Rebounds
42,"Wed, May 17 7:40 PM",Jayson Tatum,9.5,Rebounds
43,"Wed, May 17 7:40 PM",Bam Adebayo,9.0,Rebounds
44,"Wed, May 17 7:40 PM",Jaylen Brown,6.0,Rebounds
45,"Wed, May 17 7:40 PM",Marcus Smart,3.5,Rebounds
46,"Wed, May 17 7:40 PM",Max Strus,3.5,Rebounds
47,"Wed, May 17 7:40 PM",Al Horford,6.5,Rebounds
48,"Wed, May 17 7:40 PM",Kyle Lowry,3.5,Rebounds
49,"Wed, May 17 7:40 PM",Malcolm Brogdon,3.5,Rebounds
50,"Wed, May 17 7:40 PM",Caleb Martin,4.5,Rebounds
51,"Wed, May 17 7:40 PM",Kevin Love,5.0,Rebounds
52,"Wed, May 17 7:40 PM",Robert Williams III,7.5,Rebounds
53,"Tue, May 16 7:40 PM",LeBron James,4.0,Points In First 6 Minutes
54,"Tue, May 16 7:40 PM",Nikola Jokic,4.5,Points In First 6 Minutes
55,"Tue, May 16 7:40 PM",Anthony Davis,4.0,Points In First 6 Minutes
56,"Tue, May 16 7:40 PM",Jamal Murray,4.0,Points In First 6 Minutes
57,"Tue, May 16 7:40 PM",D'Angelo Russell,2.5,Points In First 6 Minutes
58,"Tue, May 16 7:40 PM",Michael Porter Jr.,3.0,Points In First 6 Minutes
59,"Tue, May 16 7:40 PM",Austin Reaves,2.5,Points In First 6 Minutes
60,"Tue, May 16 7:40 PM",Aaron Gordon,2.5,Points In First 6 Minutes
61,"Tue, May 16 7:40 PM",LeBron James,7.5,3-PT Attempted
62,"Tue, May 16 7:40 PM",Nikola Jokic,3.0,3-PT Attempted
