,Date,Name,Points,Prop
0,"Thu, May 11 6:40 PM",Jayson Tatum,29.5,Points
1,"Thu, May 11 6:40 PM",Joel Embiid,30.0,Points
2,"Thu, May 11 6:40 PM",Jaylen Brown,24.5,Points
3,"Thu, May 11 6:40 PM",James Harden,20.5,Points
4,"Thu, May 11 6:40 PM",Marcus Smart,13.5,Points
5,"Thu, May 11 6:40 PM",Tyrese Maxey,19.5,Points
6,"Thu, May 11 6:40 PM",Derrick White,11.5,Points
7,"Thu, May 11 6:40 PM",Tobias Harris,13.5,Points
8,"Thu, May 11 6:40 PM",Al Horford,8.0,Points
9,"Thu, May 11 6:40 PM",Malcolm Brogdon,15.0,Points
10,"Thu, May 11 6:40 PM",De'Anthony Melton,7.0,Points
11,"Thu, May 11 6:30 PM",Joel Embiid + James Harden,50.5,Points
12,"Thu, May 11 6:30 PM",Tyrese Maxey + James Harden,40.5,Points
13,"Thu, May 11 6:30 PM",Joel Embiid + Tobias Harris,44.0,Points
14,"Thu, May 11 6:30 PM",Jayson Tatum + Jaylen Brown,54.5,Points
15,"Thu, May 11 6:30 PM",Jaylen Brown + Malcolm Brogdon,40.5,Points
16,"Thu, May 11 6:30 PM",Marcus Smart + Jayson Tatum,43.5,Points
17,"Thu, May 11 6:30 PM",James Harden + Jaylen Brown,45.5,Points
18,"Thu, May 11 6:30 PM",James Harden + Jayson Tatum,50.5,Points
19,"Thu, May 11 6:30 PM",Joel Embiid + Jayson Tatum,60.5,Points
20,"Thu, May 11 6:30 PM",Tyrese Maxey + Marcus Smart,33.0,Points
21,"Thu, May 11 9:10 PM",Nikola Jokic,29.5,Points
22,"Thu, May 11 9:10 PM",Devin Booker,31.5,Points
23,"Thu, May 11 9:10 PM",Jamal Murray,24.5,Points
24,"Thu, May 11 9:10 PM",Kevin Durant,31.0,Points
25,"Thu, May 11 9:10 PM",Michael Porter Jr.,15.5,Points
26,"Thu, May 11 9:10 PM",Deandre Ayton,12.5,Points
27,"Thu, May 11 9:10 PM",Aaron Gordon,13.5,Points
28,"Thu, May 11 9:10 PM",Cameron Payne,8.5,Points
29,"Thu, May 11 9:10 PM",Kentavious Caldwell-Pope,9.5,Points
30,"Thu, May 11 9:10 PM",Bruce Brown,10.5,Points
31,"Thu, May 11 9:00 PM",Devin Booker + Kevin Durant,63.5,Points
32,"Thu, May 11 9:00 PM",Devin Booker + Deandre Ayton,44.5,Points
33,"Thu, May 11 9:00 PM",Kevin Durant + Deandre Ayton,43.5,Points
34,"Thu, May 11 9:00 PM",Nikola Jokic + Jamal Murray,53.5,Points
35,"Thu, May 11 9:00 PM",Nikola Jokic + Aaron Gordon,43.5,Points
36,"Thu, May 11 9:00 PM",Michael Porter Jr. + Jamal Murray,39.5,Points
37,"Thu, May 11 9:00 PM",Nikola Jokic + Devin Booker,62.5,Points
38,"Thu, May 11 9:00 PM",Nikola Jokic + Kevin Durant,61.5,Points
39,"Thu, May 11 9:00 PM",Nikola Jokic + Deandre Ayton,42.5,Points
40,"Thu, May 11 9:00 PM",Jamal Murray + Devin Booker,56.5,Points
41,"Thu, May 11 9:00 PM",Jamal Murray + Kevin Durant,55.5,Points
42,"Fri, May 12 6:40 PM",Jalen Brunson,27.5,Points
43,"Fri, May 12 6:40 PM",Jimmy Butler,28.5,Points
44,"Fri, May 12 6:40 PM",Julius Randle,23.5,Points
45,"Fri, May 12 6:40 PM",Bam Adebayo,17.5,Points
46,"Fri, May 12 6:40 PM",RJ Barrett,20.5,Points
47,"Fri, May 12 6:40 PM",Gabe Vincent,9.5,Points
48,"Fri, May 12 6:40 PM",Mitchell Robinson,6.0,Points
49,"Fri, May 12 6:40 PM",Kevin Love,7.5,Points
50,"Fri, May 12 6:40 PM",Max Strus,12.5,Points
51,"Fri, May 12 9:10 PM",Stephen Curry,31.5,Points
52,"Fri, May 12 9:10 PM",LeBron James,26.5,Points
53,"Fri, May 12 9:10 PM",Klay Thompson,20.5,Points
54,"Fri, May 12 9:10 PM",Anthony Davis,24.5,Points
55,"Fri, May 12 9:10 PM",Andrew Wiggins,17.5,Points
56,"Fri, May 12 9:10 PM",D'Angelo Russell,15.5,Points
57,"Fri, May 12 9:10 PM",Draymond Green,9.5,Points
58,"Fri, May 12 9:10 PM",Austin Reaves,14.5,Points
59,"Thu, May 11 6:40 PM",Jayson Tatum,10.0,Rebounds
60,"Thu, May 11 6:40 PM",Joel Embiid,11.0,Rebounds
61,"Thu, May 11 6:40 PM",Jaylen Brown,6.0,Rebounds
62,"Thu, May 11 6:40 PM",James Harden,6.0,Rebounds
63,"Thu, May 11 6:40 PM",Tyrese Maxey,4.0,Rebounds
64,"Thu, May 11 6:40 PM",Tobias Harris,6.0,Rebounds
65,"Thu, May 11 6:40 PM",Al Horford,6.0,Rebounds
66,"Thu, May 11 6:40 PM",P.J. Tucker,4.5,Rebounds
67,"Thu, May 11 6:40 PM",Malcolm Brogdon,4.0,Rebounds
68,"Thu, May 11 6:30 PM",Joel Embiid + James Harden,17.5,Rebounds
69,"Thu, May 11 6:30 PM",Tyrese Maxey + James Harden,10.5,Rebounds
70,"Thu, May 11 6:30 PM",Joel Embiid + Tobias Harris,17.5,Rebounds
71,"Thu, May 11 6:30 PM",Jayson Tatum + Jaylen Brown,16.0,Rebounds
72,"Thu, May 11 6:30 PM",Jaylen Brown + Malcolm Brogdon,9.5,Rebounds
73,"Thu, May 11 6:30 PM",Marcus Smart + Jayson Tatum,13.5,Rebounds
74,"Thu, May 11 6:30 PM",James Harden + Jaylen Brown,12.0,Rebounds
75,"Thu, May 11 6:30 PM",James Harden + Jayson Tatum,16.5,Rebounds
76,"Thu, May 11 6:30 PM",Joel Embiid + Jayson Tatum,21.5,Rebounds
77,"Thu, May 11 9:10 PM",Nikola Jokic,13.0,Rebounds
78,"Thu, May 11 9:10 PM",Devin Booker,5.0,Rebounds
79,"Thu, May 11 9:10 PM",Jamal Murray,5.0,Rebounds
80,"Thu, May 11 9:10 PM",Kevin Durant,9.0,Rebounds
81,"Thu, May 11 9:10 PM",Michael Porter Jr.,6.5,Rebounds
82,"Thu, May 11 9:10 PM",Deandre Ayton,9.0,Rebounds
83,"Thu, May 11 9:10 PM",Aaron Gordon,6.0,Rebounds
84,"Thu, May 11 9:10 PM",Kentavious Caldwell-Pope,2.5,Rebounds
85,"Thu, May 11 9:10 PM",Bruce Brown,3.5,Rebounds
86,"Thu, May 11 9:00 PM",Devin Booker + Kevin Durant,14.0,Rebounds
87,"Thu, May 11 9:00 PM",Devin Booker + Deandre Ayton,14.0,Rebounds
88,"Thu, May 11 9:00 PM",Kevin Durant + Deandre Ayton,18.0,Rebounds
89,"Thu, May 11 9:00 PM",Nikola Jokic + Jamal Murray,18.5,Rebounds
90,"Thu, May 11 9:00 PM",Nikola Jokic + Aaron Gordon,19.5,Rebounds
91,"Thu, May 11 9:00 PM",Michael Porter Jr. + Jamal Murray,11.5,Rebounds
92,"Thu, May 11 9:00 PM",Nikola Jokic + Devin Booker,18.5,Rebounds
93,"Thu, May 11 9:00 PM",Nikola Jokic + Kevin Durant,22.5,Rebounds
94,"Thu, May 11 9:00 PM",Nikola Jokic + Deandre Ayton,22.5,Rebounds
95,"Thu, May 11 9:00 PM",Jamal Murray + Devin Booker,10.0,Rebounds
96,"Thu, May 11 9:00 PM",Jamal Murray + Kevin Durant,14.0,Rebounds
97,"Fri, May 12 6:40 PM",Jalen Brunson,5.0,Rebounds
98,"Fri, May 12 6:40 PM",Jimmy Butler,6.5,Rebounds
99,"Fri, May 12 6:40 PM",Julius Randle,8.5,Rebounds
100,"Fri, May 12 6:40 PM",Bam Adebayo,8.5,Rebounds
101,"Fri, May 12 6:40 PM",RJ Barrett,5.0,Rebounds
102,"Fri, May 12 6:40 PM",Mitchell Robinson,9.0,Rebounds
103,"Fri, May 12 6:40 PM",Kevin Love,5.5,Rebounds
104,"Fri, May 12 9:10 PM",Stephen Curry,6.0,Rebounds
105,"Fri, May 12 9:10 PM",LeBron James,9.0,Rebounds
106,"Fri, May 12 9:10 PM",Klay Thompson,4.5,Rebounds
107,"Fri, May 12 9:10 PM",Anthony Davis,13.5,Rebounds
108,"Fri, May 12 9:10 PM",Andrew Wiggins,6.0,Rebounds
109,"Fri, May 12 9:10 PM",Draymond Green,7.5,Rebounds
110,"Fri, May 12 9:10 PM",Austin Reaves,4.0,Rebounds
111,"Thu, May 11 6:40 PM",Jayson Tatum,4.5,Points In First 6 Minutes
112,"Thu, May 11 6:40 PM",Joel Embiid,5.0,Points In First 6 Minutes
113,"Thu, May 11 6:40 PM",Jaylen Brown,4.0,Points In First 6 Minutes
114,"Thu, May 11 6:40 PM",James Harden,3.0,Points In First 6 Minutes
115,"Thu, May 11 6:40 PM",Marcus Smart,2.5,Points In First 6 Minutes
116,"Thu, May 11 6:40 PM",Tyrese Maxey,3.0,Points In First 6 Minutes
117,"Thu, May 11 6:40 PM",Tobias Harris,2.0,Points In First 6 Minutes
118,"Thu, May 11 6:40 PM",Al Horford,1.5,Points In First 6 Minutes
119,"Thu, May 11 9:00 PM",Nikola Jokic,5.0,Points In First 6 Minutes
120,"Thu, May 11 9:00 PM",Devin Booker,5.0,Points In First 6 Minutes
121,"Thu, May 11 9:00 PM",Jamal Murray,4.0,Points In First 6 Minutes
122,"Thu, May 11 9:00 PM",Kevin Durant,4.0,Points In First 6 Minutes
123,"Thu, May 11 9:00 PM",Michael Porter Jr.,3.0,Points In First 6 Minutes
124,"Thu, May 11 9:00 PM",Deandre Ayton,2.5,Points In First 6 Minutes
125,"Thu, May 11 9:00 PM",Aaron Gordon,2.5,Points In First 6 Minutes
126,"Thu, May 11 6:40 PM",Jayson Tatum,8.0,3-PT Attempted
127,"Thu, May 11 6:40 PM",Joel Embiid,2.5,3-PT Attempted
128,"Thu, May 11 6:40 PM",Jaylen Brown,7.0,3-PT Attempted
129,"Thu, May 11 6:40 PM",James Harden,6.5,3-PT Attempted
130,"Thu, May 11 6:40 PM",Marcus Smart,5.5,3-PT Attempted
131,"Thu, May 11 6:40 PM",Tyrese Maxey,6.5,3-PT Attempted
132,"Thu, May 11 6:40 PM",Derrick White,4.5,3-PT Attempted
133,"Thu, May 11 6:40 PM",Tobias Harris,4.5,3-PT Attempted
134,"Thu, May 11 6:40 PM",Al Horford,6.0,3-PT Attempted
135,"Thu, May 11 6:40 PM",P.J. Tucker,2.5,3-PT Attempted
