,Date,Name,Points,Prop
0,"Sun, May 14 7:00 PM",Joel Embiid,30.5,Points
1,"Fri, May 12 6:40 PM",Jalen Brunson,27.5,Points
2,"Fri, May 12 6:40 PM",Jimmy Butler,28.5,Points
3,"Fri, May 12 6:40 PM",Julius Randle,22.5,Points
4,"Fri, May 12 6:40 PM",Bam Adebayo,18.0,Points
5,"Fri, May 12 6:40 PM",RJ Barrett,20.5,Points
6,"Fri, May 12 6:40 PM",Gabe Vincent,9.5,Points
7,"Fri, May 12 6:40 PM",Mitchell Robinson,6.0,Points
8,"Fri, May 12 6:40 PM",Kevin Love,8.0,Points
9,"Fri, May 12 6:40 PM",Quentin Grimes,10.0,Points
10,"Fri, May 12 6:40 PM",Max Strus,12.5,Points
11,"Fri, May 12 6:40 PM",Kyle Lowry,11.0,Points
12,"Fri, May 12 6:40 PM",Caleb Martin,8.5,Points
13,"Fri, May 12 6:40 PM",Duncan Robinson,5.5,Points
14,"Fri, May 12 6:30 PM",Jimmy Butler + Bam Adebayo,46.5,Points
15,"Fri, May 12 6:30 PM",Julius Randle + Jalen Brunson,50.5,Points
16,"Fri, May 12 6:30 PM",Jimmy Butler + Gabe Vincent,38.5,Points
17,"Fri, May 12 6:30 PM",Jalen Brunson + RJ Barrett,48.5,Points
18,"Fri, May 12 6:30 PM",Bam Adebayo + Kevin Love,25.5,Points
19,"Fri, May 12 6:30 PM",Julius Randle + Mitchell Robinson,29.0,Points
20,"Fri, May 12 6:30 PM",Jimmy Butler + Jalen Brunson,56.5,Points
21,"Fri, May 12 6:30 PM",Jimmy Butler + Julius Randle,51.5,Points
22,"Fri, May 12 6:30 PM",Bam Adebayo + RJ Barrett,39.5,Points
23,"Fri, May 12 6:30 PM",Gabe Vincent + Jalen Brunson,37.5,Points
24,"Fri, May 12 9:10 PM",Stephen Curry,31.5,Points
25,"Fri, May 12 9:10 PM",LeBron James,26.5,Points
26,"Fri, May 12 9:10 PM",Klay Thompson,22.0,Points
27,"Fri, May 12 9:10 PM",Anthony Davis,24.5,Points
28,"Fri, May 12 9:10 PM",Andrew Wiggins,16.5,Points
29,"Fri, May 12 9:10 PM",D'Angelo Russell,15.5,Points
30,"Fri, May 12 9:10 PM",Draymond Green,9.5,Points
31,"Fri, May 12 9:10 PM",Austin Reaves,14.5,Points
32,"Fri, May 12 9:10 PM",Dennis Schroder,10.5,Points
33,"Fri, May 12 9:10 PM",Gary Payton II,9.5,Points
34,"Fri, May 12 9:00 PM",LeBron James + Anthony Davis,51.5,Points
35,"Fri, May 12 9:00 PM",LeBron James + D'Angelo Russell,42.5,Points
36,"Fri, May 12 9:00 PM",Anthony Davis + D'Angelo Russell,40.5,Points
37,"Fri, May 12 9:00 PM",Stephen Curry + Klay Thompson,53.5,Points
38,"Fri, May 12 9:00 PM",Stephen Curry + Draymond Green,40.5,Points
39,"Fri, May 12 9:00 PM",LeBron James + Stephen Curry,58.5,Points
40,"Fri, May 12 9:00 PM",LeBron James + Klay Thompson,48.5,Points
41,"Fri, May 12 9:00 PM",LeBron James + Draymond Green,35.5,Points
42,"Fri, May 12 9:00 PM",Anthony Davis + Stephen Curry,56.5,Points
43,"Fri, May 12 9:00 PM",Anthony Davis + Klay Thompson,46.5,Points
44,"Sun, May 14 12:10 PM",Joel Embiid,30.5,Points
45,"Sun, May 14 12:10 PM",Jayson Tatum,29.5,Points
46,"Sun, May 14 12:10 PM",James Harden,20.5,Points
47,"Sun, May 14 12:10 PM",Jaylen Brown,23.5,Points
48,"Sun, May 14 12:10 PM",Tyrese Maxey,21.5,Points
49,"Sun, May 14 12:10 PM",Marcus Smart,14.5,Points
50,"Fri, May 12 6:40 PM",Jalen Brunson,5.0,Rebounds
51,"Fri, May 12 6:40 PM",Jimmy Butler,6.5,Rebounds
52,"Fri, May 12 6:40 PM",Julius Randle,9.0,Rebounds
53,"Fri, May 12 6:40 PM",Bam Adebayo,8.5,Rebounds
54,"Fri, May 12 6:40 PM",RJ Barrett,4.5,Rebounds
55,"Fri, May 12 6:40 PM",Mitchell Robinson,9.0,Rebounds
56,"Fri, May 12 6:40 PM",Kevin Love,5.5,Rebounds
57,"Fri, May 12 6:40 PM",Quentin Grimes,3.5,Rebounds
58,"Fri, May 12 6:40 PM",Isaiah Hartenstein,4.5,Rebounds
59,"Fri, May 12 6:40 PM",Kyle Lowry,3.5,Rebounds
60,"Fri, May 12 6:40 PM",Caleb Martin,4.5,Rebounds
61,"Fri, May 12 6:30 PM",Jimmy Butler + Bam Adebayo,15.5,Rebounds
62,"Fri, May 12 6:30 PM",Julius Randle + Jalen Brunson,14.5,Rebounds
63,"Fri, May 12 6:30 PM",Jalen Brunson + RJ Barrett,10.0,Rebounds
64,"Fri, May 12 6:30 PM",Bam Adebayo + Kevin Love,14.5,Rebounds
65,"Fri, May 12 6:30 PM",Julius Randle + Mitchell Robinson,18.5,Rebounds
66,"Fri, May 12 6:30 PM",Jimmy Butler + Jalen Brunson,12.0,Rebounds
67,"Fri, May 12 6:30 PM",Jimmy Butler + Julius Randle,16.5,Rebounds
68,"Fri, May 12 6:30 PM",Bam Adebayo + RJ Barrett,14.0,Rebounds
69,"Fri, May 12 9:10 PM",Stephen Curry,6.0,Rebounds
70,"Fri, May 12 9:10 PM",LeBron James,9.0,Rebounds
71,"Fri, May 12 9:10 PM",Klay Thompson,4.5,Rebounds
72,"Fri, May 12 9:10 PM",Anthony Davis,13.5,Rebounds
73,"Fri, May 12 9:10 PM",Andrew Wiggins,5.5,Rebounds
74,"Fri, May 12 9:10 PM",Draymond Green,7.5,Rebounds
75,"Fri, May 12 9:10 PM",Austin Reaves,4.0,Rebounds
76,"Fri, May 12 9:10 PM",Gary Payton II,5.0,Rebounds
77,"Fri, May 12 9:00 PM",LeBron James + Anthony Davis,23.0,Rebounds
78,"Fri, May 12 9:00 PM",Stephen Curry + Klay Thompson,10.5,Rebounds
79,"Fri, May 12 9:00 PM",Stephen Curry + Draymond Green,13.5,Rebounds
80,"Fri, May 12 9:00 PM",LeBron James + Stephen Curry,15.0,Rebounds
81,"Fri, May 12 9:00 PM",LeBron James + Klay Thompson,13.5,Rebounds
82,"Fri, May 12 9:00 PM",LeBron James + Draymond Green,16.5,Rebounds
83,"Fri, May 12 9:00 PM",Anthony Davis + Stephen Curry,19.5,Rebounds
84,"Fri, May 12 9:00 PM",Anthony Davis + Klay Thompson,18.0,Rebounds
85,"Sun, May 14 12:10 PM",Joel Embiid,11.0,Rebounds
86,"Sun, May 14 12:10 PM",Jayson Tatum,9.5,Rebounds
87,"Sun, May 14 12:10 PM",James Harden,6.5,Rebounds
88,"Sun, May 14 12:10 PM",Jaylen Brown,5.5,Rebounds
89,"Sun, May 14 12:10 PM",Tyrese Maxey,4.5,Rebounds
90,"Fri, May 12 6:40 PM",Jalen Brunson,4.0,Points In First 6 Minutes
91,"Fri, May 12 6:40 PM",Jimmy Butler,4.0,Points In First 6 Minutes
92,"Fri, May 12 6:40 PM",Julius Randle,3.5,Points In First 6 Minutes
93,"Fri, May 12 6:40 PM",Bam Adebayo,2.5,Points In First 6 Minutes
94,"Fri, May 12 6:40 PM",RJ Barrett,3.5,Points In First 6 Minutes
95,"Fri, May 12 6:40 PM",Gabe Vincent,2.0,Points In First 6 Minutes
96,"Fri, May 12 6:40 PM",Max Strus,2.5,Points In First 6 Minutes
97,"Fri, May 12 9:00 PM",Stephen Curry,4.5,Points In First 6 Minutes
98,"Fri, May 12 9:00 PM",LeBron James,4.0,Points In First 6 Minutes
99,"Fri, May 12 9:00 PM",Klay Thompson,4.5,Points In First 6 Minutes
100,"Fri, May 12 9:00 PM",Anthony Davis,4.5,Points In First 6 Minutes
101,"Fri, May 12 9:00 PM",Andrew Wiggins,2.5,Points In First 6 Minutes
102,"Fri, May 12 9:00 PM",D'Angelo Russell,2.5,Points In First 6 Minutes
103,"Fri, May 12 9:00 PM",Austin Reaves,2.5,Points In First 6 Minutes
104,"Fri, May 12 6:40 PM",Jalen Brunson,7.0,3-PT Attempted
105,"Fri, May 12 6:40 PM",Jimmy Butler,2.5,3-PT Attempted
106,"Fri, May 12 6:40 PM",Julius Randle,7.0,3-PT Attempted
107,"Fri, May 12 6:40 PM",RJ Barrett,6.0,3-PT Attempted
